-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,20,21,21,21,22,-1,-1,-1
-1,-1,40,41,41,41,42,-1,-1,-1
-1,-1,40,41,41,41,42,-1,-1,-1
-1,-1,63,143,60,61,62,-1,-1,-1
-1,-1,80,143,81,81,82,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,24,26,-1,-1,-1,-1,-1,-1
-1,-1,64,66,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,20,21,21,22,-1
-1,-1,-1,-1,-1,63,143,60,62,-1
-1,-1,-1,-1,-1,80,143,81,82,-1
-1,-1,24,26,-1,-1,-1,-1,-1,-1
-1,-1,44,46,-1,-1,-1,-1,-1,-1
-1,84,45,46,-1,-1,-1,-1,27,-1
-1,-1,44,45,25,25,25,25,66,-1
-1,-1,64,65,65,65,65,66,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
